filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
031.wav,0.317682892,0.017143205,906.6922082,1419.636399,1672.638591,0.033190681,-410.0731201,160.6325226,2.583745241,37.75435638,6.009999752,9.869277,0.723185182,1.648474693,-4.647143364,2.358676672,0.338422596,4.512347698,0.43513611,-2.845412254,-4.146811962,-2.699361563,-3.337046862,-0.388729542,-2.012227297,1.958643556
032.wav,0.216323063,0.042674582,1283.768604,1661.636112,2505.306889,0.053303137,-351.6087646,120.8775864,-3.950514078,29.97075081,-9.13542366,-8.616827965,-10.87771416,-12.70222473,-17.85114479,-14.54807663,-11.87721729,0.446900547,-0.375481695,-4.647968769,-6.05709362,-7.868485928,-9.236060143,1.060987949,2.262083054,3.562535048
033.wav,0.245560661,0.045400392,956.9814074,1220.658827,1709.43254,0.048012432,-315.3908997,170.8950653,-18.4332962,29.92168045,1.065574408,-12.5820322,-7.943105698,-11.33307457,-10.58549023,-8.834007263,-7.630632401,-2.702126026,-0.708524048,-4.401424885,-2.851271629,-2.127017975,-3.850828171,-0.8571769,-4.819379807,-6.070102692
034.wav,0.305548251,0.034638613,915.7419573,1332.566329,1572.246973,0.043056014,-324.4095459,169.531662,-6.960841656,33.56769562,2.993225336,7.733001232,0.212552398,-4.137978554,-5.934870243,1.724882364,-6.928395271,-0.016011862,-5.302377224,-4.851609707,-5.349607944,-2.00884676,-7.095243931,-7.745426178,-11.43236828,-1.118232489
035.wav,0.182551533,0.012378806,1811.465677,1974.891818,3498.472595,0.071681147,-424.5664063,86.38959503,-28.48945618,17.67620087,-15.3729353,-20.66790771,-27.40141487,-16.10744286,-14.17319107,3.361241102,-2.825787067,-0.276451766,-12.53398037,-7.002545357,7.868337154,19.5100708,4.081049442,6.619437695,-6.775229454,-14.50823689
036.wav,0.340935171,0.058593087,1039.431462,1486.318169,2026.870505,0.044389586,-257.8175659,162.8071289,-8.579932213,32.00629044,6.997166157,4.05543232,0.32017675,5.252122879,-6.87307024,4.422954559,-6.254929066,3.709599972,-0.993992746,-0.99204427,0.157798275,-0.473051548,-4.885326385,-1.040844679,-3.620176077,0.861037493
037.wav,0.360800207,0.051666472,612.8047468,1055.396896,988.7549955,0.026977915,-330.0410461,190.2372589,8.039018631,39.59018707,9.089631081,13.28147984,10.69453335,4.402929783,1.130713105,0.426490396,-1.228419781,1.007019043,-0.526333451,-1.643097401,0.160696313,3.455576181,0.692618012,-2.049204588,-5.353490829,-3.083699703
038.wav,0.272920519,0.011888784,1615.130084,1982.262986,3519.007535,0.056545234,-374.7067261,115.0951691,-10.73076153,31.8629055,-18.67458344,1.626527071,-10.41687489,-3.622442484,-10.08372498,-3.967690706,-13.52499294,-7.461836338,-11.78755856,-8.811881065,-10.17671108,-3.624919653,-13.11654282,-5.832123756,-8.802671432,0.003188202
039.wav,0.207398087,0.051242467,1418.673429,1868.702549,2725.565186,0.060107422,-284.2062988,115.6520309,-1.02156353,23.37590218,-1.119668841,-7.22061348,-8.636134148,-3.853399754,-14.38174152,-2.384541273,-7.733973503,4.359648705,-7.410716057,-3.487746,-5.202133656,-6.359710693,-6.671582222,3.692515135,3.177303791,2.492693186
040.wav,0.290326983,0.112600081,1569.199244,1727.331954,3009.382165,0.092140529,-129.987793,138.2061768,-26.94776154,26.90602112,-10.51374054,3.59676528,-6.598084927,5.41964674,-7.166387081,5.104287624,-8.802913666,0.531038284,-1.349748135,2.050619602,-1.236369371,4.475725651,-3.086893559,1.993499398,-6.827167034,0.224691302
041.wav,0.230150059,0.030797983,1135.821217,1594.91682,2047.213945,0.047053428,-353.5724792,137.6965942,-1.209464431,32.83826065,-1.683025002,2.375141382,-7.623213291,-5.208287239,-12.72465324,-6.139445782,-8.900922775,-1.603223562,-1.968472958,-0.358288676,-2.474020243,4.903638363,0.5425753,-1.424893856,-9.849537849,-5.459467888
042.wav,0.223784029,0.037064116,1081.217798,1421.656773,1953.231436,0.058604123,-315.0655212,157.7049255,-14.78941345,35.05307388,0.805786133,7.504767418,-3.229493618,1.896598339,-0.399225682,1.820535541,-2.18278861,-0.269145131,-11.22089863,-1.848683,-4.126559734,-2.091521502,-3.230869293,-6.683384895,-4.057359219,3.819469213
043.wav,0.211959064,0.01071733,1785.897379,1736.382593,3319.229621,0.101246366,-424.0265198,95.52693176,-40.32688522,33.6234169,-7.950431347,-9.236943245,-7.794848919,6.419206142,-0.274237663,14.02287579,-6.564043522,-6.799974918,-5.163071156,12.85866261,17.74246979,18.67642784,3.107219934,15.70454884,20.53557014,15.08245277
044.wav,0.299396724,0.030563939,1081.25599,1466.310478,2181.241558,0.048585423,-309.9217529,162.2966919,-19.2428894,40.86782455,12.08392715,4.26870966,0.068008155,6.634022236,-0.559232056,4.437443256,-8.319127083,0.694052219,-4.371234894,-2.698942423,0.641773999,4.950091839,-1.304000616,1.127633214,-7.014863014,-3.228717566
